EmployeeID,FullName,Gender,Age,MaritalStatus,Education,Department,JobRole,HireDate,TerminationDate,EmploymentStatus,TerminationReason,YearsAtCompany,AnnualSalary,OverTime,DistanceFromHome_km,PerformanceRating,JobSatisfaction,WorkLifeBalance,RecruitmentSource,AbsentDays_LastYear,HireYear,HireMonth
1,Jessica Johnson,Female,25,Divorced,Diploma,IT,Data Analyst,2018-07-03,2020-03-25,Terminated,Restructuring/Layoff,1.7,51143,Yes,16,3,4,1,University Fair,8,2018,7
2,David Mahlangu,Male,32,Divorced,Diploma,Research & Development,Research Scientist,2017-01-18,,Active,,9.5,41463,No,12,2,3,3,University Fair,7,2017,1
3,Patricia Ndlovu,Female,30,Single,Diploma,Sales,Account Manager,2018-06-21,2023-09-02,Terminated,Dismissal - Misconduct,5.2,76944,No,1,4,2,3,Employee Referral,8,2018,6
4,Ryan Perez,Male,37,Single,Bachelor's,Sales,Sales Representative,2024-07-24,,Active,,1.9,59746,Yes,1,1,3,3,Recruitment Agency,8,2024,7
5,Susan Thompson,Female,39,Single,Bachelor's,Marketing,Content Strategist,2025-01-18,2025-04-10,Terminated,Restructuring/Layoff,0.2,18714,No,1,4,4,2,Recruitment Agency,5,2025,1
6,Barbara Ndlovu,Female,22,Divorced,High School,Research & Development,Research Director,2022-06-22,2023-09-18,Terminated,Restructuring/Layoff,1.2,62454,No,3,3,3,4,Employee Referral,9,2022,6
7,Emily Garcia,Female,36,Divorced,Diploma,Marketing,Marketing Specialist,2020-04-05,,Active,,6.2,45474,No,19,2,3,4,Job Portal,9,2020,4
8,Daniel White,Male,48,Divorced,Master's,Research & Development,Research Director,2023-11-14,,Active,,2.6,49713,No,1,2,3,4,LinkedIn,5,2023,11
9,Nancy Zulu,Female,34,Divorced,Bachelor's,IT,Data Analyst,2021-03-08,,Active,,5.3,55300,No,3,4,4,2,Company Website,4,2021,3
10,Bongani Anderson,Male,34,Single,Bachelor's,IT,Software Engineer,2018-07-27,2019-02-03,Terminated,Retirement,0.5,49923,No,33,2,4,4,Employee Referral,7,2018,7
11,Naledi Lee,Female,51,Single,Diploma,Sales,Account Manager,2020-06-08,2025-09-29,Terminated,Resignation - Personal Reasons,5.3,62343,No,2,3,2,3,Company Website,6,2020,6
12,Amahle Zulu,Female,43,Married,Bachelor's,Sales,Account Manager,2026-01-25,,Active,,0.4,26857,No,6,2,1,4,Employee Referral,10,2026,1
13,Thomas Khumalo,Male,41,Divorced,Bachelor's,Human Resources,HR Business Partner,2025-08-28,2025-11-24,Terminated,Resignation - Personal Reasons,0.2,63416,Yes,18,3,1,2,Recruitment Agency,16,2025,8
14,Elizabeth Harris,Female,52,Divorced,Diploma,Research & Development,Manufacturing Director,2021-12-07,,Active,,4.6,55787,Yes,9,2,3,3,LinkedIn,12,2021,12
15,Jessica Zulu,Female,23,Single,Diploma,IT,IT Support Specialist,2017-04-01,,Active,,9.3,40863,No,3,4,3,4,Recruitment Agency,6,2017,4
16,James Taylor,Male,34,Divorced,Master's,Operations,Operations Manager,2021-09-10,,Active,,4.8,59945,No,15,3,3,4,Job Portal,9,2021,9
17,Lwazi Botha,Male,39,Divorced,Diploma,Sales,Sales Manager,2024-07-20,,Active,,1.9,54931,No,3,3,4,4,LinkedIn,11,2024,7
18,Brian Dlamini,Male,35,Married,PhD,Sales,Sales Manager,2025-11-08,,Active,,0.6,37460,Yes,7,1,1,4,Employee Referral,13,2025,11
19,Michael Thomas,Male,29,Single,Bachelor's,Marketing,Marketing Specialist,2016-12-16,,Active,,9.5,62793,Yes,1,3,3,3,University Fair,11,2016,12
20,Thomas Rodriguez,Male,31,Single,Bachelor's,Finance,Accountant,2018-12-21,2025-01-19,Terminated,Dismissal - Misconduct,6.1,24843,Yes,26,4,4,3,University Fair,10,2018,12
21,Margaret Martin,Female,29,Married,Master's,Research & Development,Research Director,2020-11-29,,Active,,5.6,30281,Yes,1,1,1,4,LinkedIn,17,2020,11
22,Ashley Anderson,Female,20,Single,Bachelor's,Sales,Sales Executive,2022-08-06,2025-11-12,Terminated,Resignation - Personal Reasons,3.3,32274,No,4,3,3,1,LinkedIn,8,2022,8
23,Michael Anderson,Male,37,Divorced,Bachelor's,Sales,Sales Executive,2025-08-22,,Active,,0.9,55651,No,4,3,4,3,Employee Referral,5,2025,8
24,Kimberly Dlamini,Female,31,Divorced,Master's,Sales,Sales Representative,2024-02-10,,Active,,2.4,50033,No,1,4,2,2,University Fair,12,2024,2
25,Sipho Thomas,Male,43,Divorced,High School,IT,Systems Administrator,2018-02-18,,Active,,8.4,61164,Yes,11,4,4,3,Recruitment Agency,14,2018,2
26,Amanda Ramirez,Female,38,Divorced,Bachelor's,Research & Development,Research Scientist,2023-07-21,,Active,,2.9,45367,No,7,3,2,3,LinkedIn,12,2023,7
27,Michael Sanchez,Male,29,Divorced,Diploma,IT,Software Engineer,2018-10-15,,Active,,7.7,51027,No,17,3,2,2,Recruitment Agency,13,2018,10
28,Sarah Ramirez,Female,38,Divorced,Master's,Sales,Account Manager,2018-10-20,2019-10-23,Terminated,Dismissal - Performance,1.0,38195,No,9,2,1,4,LinkedIn,11,2018,10
29,Michael Zulu,Male,30,Married,Bachelor's,Marketing,Marketing Specialist,2026-05-22,2026-07-21,Terminated,Resignation - Personal Reasons,0.2,65561,No,6,3,4,2,Employee Referral,3,2026,5
30,Stephanie Brown,Female,38,Married,Diploma,Sales,Sales Executive,2020-05-18,,Active,,6.1,37471,No,26,3,2,4,Job Portal,5,2020,5
31,Ryan Ndlovu,Male,56,Single,Diploma,Finance,Payroll Specialist,2017-09-26,,Active,,8.8,58133,No,7,3,4,1,LinkedIn,8,2017,9
